url_length,uses_ip,num_dots,protocol,num_subdomains,domain_age_days,dns_valid,whois_info_exists,has_iframe,has_obfuscated_js,label
50,0,1,1,0,-1,1,0,1,0,0
50,0,3,0,0,-1,1,0,-1,-1,1
23,0,1,0,0,-1,0,1,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
70,0,2,1,0,-1,1,0,1,0,0
33,0,2,1,1,-1,1,0,0,0,0
36,0,2,1,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
19,0,1,0,0,-1,1,0,0,0,1
48,0,2,1,1,-1,1,0,0,0,1
49,0,2,0,1,-1,1,0,0,1,1
67,0,1,1,0,-1,0,1,-1,-1,1
51,0,2,1,1,-1,1,0,0,0,0
37,0,1,1,0,-1,1,0,0,0,0
58,0,2,1,1,-1,1,0,0,0,0
50,0,3,0,0,-1,0,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
53,0,2,0,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
110,0,16,0,11,-1,1,0,0,0,1
77,0,2,1,1,-1,1,0,0,0,0
61,0,2,1,0,-1,1,0,1,0,0
110,0,5,0,1,-1,1,0,-1,-1,1
83,0,2,1,1,-1,1,0,0,0,0
54,0,2,0,1,-1,1,0,0,0,1
103,0,2,0,1,-1,0,0,-1,-1,1
44,0,3,1,1,-1,1,0,0,0,0
74,0,2,1,1,-1,1,0,0,1,0
24,0,1,0,0,-1,1,0,-1,-1,0
40,0,1,1,0,-1,1,0,0,0,0
41,0,2,0,0,-1,0,1,-1,-1,1
33,0,1,1,0,-1,1,0,-1,-1,0
64,0,3,0,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
67,0,2,1,1,-1,1,0,0,0,0
52,0,3,1,1,-1,1,0,0,0,1
32,0,2,0,1,-1,1,0,-1,-1,1
74,0,3,1,1,-1,1,0,-1,-1,1
30,0,1,1,0,-1,1,0,0,0,0
35,0,3,0,1,-1,0,0,-1,-1,1
91,0,1,0,0,-1,1,0,0,0,1
41,0,1,1,0,-1,1,0,0,0,0
51,0,2,1,1,-1,0,0,-1,-1,1
23,0,2,1,1,-1,1,0,0,0,1
125,0,4,1,3,-1,1,0,-1,-1,1
42,0,2,0,1,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
73,0,3,0,1,-1,1,0,-1,-1,1
40,0,2,1,1,-1,0,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
42,0,1,1,0,-1,1,0,0,1,0
39,0,3,1,1,-1,1,0,0,0,0
37,0,3,0,1,-1,1,0,0,1,0
107,0,2,0,1,-1,0,0,-1,-1,1
55,0,3,0,1,-1,1,0,0,1,0
34,0,2,0,1,-1,0,0,-1,-1,1
41,0,3,1,2,-1,0,1,-1,-1,1
106,0,8,0,1,-1,0,1,-1,-1,1
55,0,2,1,1,-1,1,0,0,0,0
48,0,2,1,1,-1,1,0,0,1,0
